name,start_date,county,acres,containment,year
Grant Fire,12/30/2013,Santa Clara,40,100%,2013
Refuse Fire,12/30/2013,Mendocino,15,100%,2013
Pfeiffer Fire,12/15/2013,Monterey,917,100%,2013
Happy Camp Fire,12/9/2013,Ventura,44,100%,2013
Dam Fire,11/23/2013,Lake,23,100%,2013
Bruner Fire,11/23/2013,Lake,50,100%,2013
Retek Fire,11/22/2013,Mendocino,82,100%,2013
McCabe Fire,11/21/2013,Sonoma,"3,505",100%,2013
Silverado Fire,11/21/2013,Napa,190,100%,2013
Wheeler Fire,11/14/2013,Ventura,64,100%,2013
Cantwell Fire,11/8/2013,Lake,120,100%,2013
Toro Fire,11/8/2013,San Luis Obispo,51,100%,2013
Dersch Fire,11/7/2013,Shasta,33,100%,2013
Capay Fire,11/4/2013,Yolo,163,100%,2013
Baker Fire,10/6/2013,Orange,40,100%,2013
DeLuz Fire,10/5/2013,San Diego,"2,236",100%,2013
Summit Fire,10/4/2013,Butte,305,100%,2013
Crane Fire,10/4/2013,Sonoma,159,100%,2013
Highland Fire,10/4/2013,Alameda,150,100%,2013
Putah Fire,10/3/2013,Napa,376,100%,2013
Highland Fire,9/28/2013,Mendocino,98,100%,2013
Valley Fire,9/26/2013,San Diego,40,100%,2013
Sierra Fire,9/24/2013,San Bernardino,200,100%,2013
Creek Fire,9/23/2013,San Luis Obispo,94,100%,2013
Madre Fire,9/23/2013,Los Angeles,268,100%,2013
Lakeshore Fire,9/15/2013,Lake,30,100%,2013
Tehama Fire,9/15/2013,Tehama,75,100%,2013
Liveoak Fire,9/11/2013,San Bernardino,73,100%,2013
Lyon Fire,9/9/2013,San Diego,263,100%,2013
Clover Fire,9/9/2013,Shasta,"8,073",100%,2013
Morgan Fire,9/8/2013,Contra Costa,"3,111",100%,2013
Angora Fire,9/8/2013,Tulare,134,100%,2013
Rail Fire,9/7/2013,Modoc,68,100%,2013
Chestnut Fire,9/7/2013,San Mateo,41,100%,2013
Davis Creek Complex,9/5/2013,Modoc,97,100%,2013
